date_time_bucket,passenger_count
2017-09-01 00:00,9302
2017-09-01 00:30,7795
2017-09-01 01:00,6692
2017-09-01 01:30,5247
2017-09-01 02:00,4039
2017-09-01 02:30,3537
2017-09-01 03:00,2831
2017-09-01 03:30,2207
2017-09-01 04:00,2427
2017-09-01 04:30,1883
2017-09-01 05:00,1854
2017-09-01 05:30,3184
2017-09-01 06:00,4287
2017-09-01 06:30,6125
2017-09-01 07:00,6606
2017-09-01 07:30,7418
2017-09-01 08:00,8215
2017-09-01 08:30,9701
2017-09-01 09:00,9355
2017-09-01 09:30,9250
2017-09-01 10:00,8991
2017-09-01 10:30,9323
2017-09-01 11:00,9207
2017-09-01 11:30,9950
2017-09-01 12:00,10219
2017-09-01 12:30,10498
2017-09-01 13:00,10744
2017-09-01 13:30,11188
2017-09-01 14:00,11315
2017-09-01 14:30,11913
2017-09-01 15:00,11578
2017-09-01 15:30,11618
2017-09-01 16:00,10953
2017-09-01 16:30,10833
2017-09-01 17:00,11611
2017-09-01 17:30,12531
2017-09-01 18:00,12615
2017-09-01 18:30,12965
2017-09-01 19:00,13189
2017-09-01 19:30,12282
2017-09-01 20:00,11121
2017-09-01 20:30,10911
2017-09-01 21:00,10501
2017-09-01 21:30,10842
2017-09-01 22:00,10872
2017-09-01 22:30,11763
2017-09-01 23:00,11243
2017-09-01 23:30,10581
2017-09-02 00:00,10441
2017-09-02 00:30,9242
2017-09-02 01:00,8551
2017-09-02 01:30,7699
2017-09-02 02:00,7064
2017-09-02 02:30,5936
2017-09-02 03:00,4992
2017-09-02 03:30,4445
2017-09-02 04:00,4004
2017-09-02 04:30,2460
2017-09-02 05:00,1790
2017-09-02 05:30,1674
2017-09-02 06:00,2205
2017-09-02 06:30,2701
2017-09-02 07:00,2907
2017-09-02 07:30,3709
2017-09-02 08:00,4131
2017-09-02 08:30,5245
2017-09-02 09:00,6157
2017-09-02 09:30,7238
2017-09-02 10:00,7886
2017-09-02 10:30,8514
2017-09-02 11:00,8762
2017-09-02 11:30,9512
2017-09-02 12:00,9516
2017-09-02 12:30,10139
2017-09-02 13:00,10360
2017-09-02 13:30,10549
2017-09-02 14:00,10381
2017-09-02 14:30,10675
2017-09-02 15:00,10566
2017-09-02 15:30,10795
2017-09-02 16:00,10808
2017-09-02 16:30,11353
2017-09-02 17:00,13451
2017-09-02 17:30,12317
2017-09-02 18:00,10884
2017-09-02 18:30,12753
2017-09-02 19:00,13533
2017-09-02 19:30,15438
2017-09-02 20:00,13331
2017-09-02 20:30,12630
2017-09-02 21:00,13070
2017-09-02 21:30,12810
2017-09-02 22:00,11749
2017-09-02 22:30,11796
2017-09-02 23:00,11438
2017-09-02 23:30,9684
2017-09-03 00:00,9159
2017-09-03 00:30,8049
2017-09-03 01:00,6915
2017-09-03 01:30,6215
2017-09-03 02:00,5913
2017-09-03 02:30,5562
