V5,V2
4.81,6.31
4.805,6.36
4.795,6.385
4.79,6.43
4.8,6.475
4.805,6.52
4.79,6.54
4.775,6.58
4.79,6.635
4.79,6.675
4.79,6.71
4.795,6.745
4.815,6.8
4.825,6.85
4.825,6.88
4.825,6.915
4.83,6.96
4.845,7.005
4.855,7.025
4.835,7.035
4.855,7.06
4.88,7.065
4.89,7.055
4.885,7.045
4.91,7.035
4.925,7.03
4.965,6.945
4.96,6.885
4.95,6.825
4.98,6.76
5.01,6.66
5.025,6.56
5.025,6.47
5.04,6.385
5.03,6.29
5.015,6.17
5.01,6.08
5.035,6.0
5.045,5.935
5.04,5.84
5.005,5.755
4.995,5.69
4.98,5.63
4.95,5.55
4.935,5.495
4.94,5.455
4.955,5.41
4.96,5.37
4.94,5.315
4.925,5.305
4.93,5.3
4.915,5.245
4.905,5.22
4.885,5.205
4.89,5.2
4.875,5.2
4.865,5.18
4.85,5.175
4.875,5.185
4.88,5.18
4.86,5.16
4.86,5.16
4.87,5.175
4.885,5.18
4.885,5.175
4.86,5.16
4.865,5.185
4.865,5.195
4.855,5.19
4.83,5.175
4.83,5.19
4.85,5.19
4.855,5.18
4.845,5.165
4.835,5.165
4.835,5.175
4.83,5.175
4.825,5.165
4.84,5.17
4.86,5.17
4.865,5.16
4.83,5.135
4.8,5.135
4.81,5.135
4.81,5.13
4.81,5.125
4.8,5.11
4.81,5.13
4.81,5.11
4.805,5.1
4.79,5.08
4.805,5.09
4.81,5.08
4.805,5.075
4.8,5.065
4.795,5.06
4.795,5.055
4.795,5.04
4.775,5.03
4.775,5.03
4.785,5.035
4.795,5.035
4.78,5.025
4.78,5.03
4.81,5.03
4.82,5.025
4.805,5.02
4.8,5.015
4.81,5.025
4.805,5.02
4.785,5.015
4.775,5.005
4.78,5.015
4.8,5.025
4.79,5.005
4.795,5.005
4.8,5.015
4.795,5.01
4.78,5.01
4.78,5.0
4.8,5.01
4.82,5.02
4.815,5.015
4.81,5.005
4.81,5.01
4.81,5.015
4.795,5.015
4.8,5.005
4.795,5.0
4.795,5.015
4.805,5.0
4.805,5.0
4.805,4.995
4.805,5.005
4.81,5.0
4.805,4.99
4.8,4.995
4.82,5.005
4.835,5.01
4.845,5.0
4.845,5.015
4.855,5.06
4.855,5.18
4.865,5.545
4.9,6.01
4.99,5.91
5.245,5.57
5.765,5.45
5.92,5.385
5.51,5.33
5.38,5.315
5.25,5.125
5.26,4.9
5.28,4.605
5.32,4.25
5.34,3.855
5.33,3.465
5.295,3.14
5.28,2.89
5.325,2.67
5.33,2.51
5.315,2.365
5.3,2.25
5.24,2.16
5.13,2.11
5.025,2.075
4.95,2.065
4.81,2.065
4.665,2.05
4.635,2.05
4.65,2.065
4.67,2.08
4.64,2.105
4.61,2.18
4.585,2.34
4.58,2.4
4.615,2.755
4.63,3.025
4.66,3.39
4.69,3.745
4.705,4.08
4.7,4.385
4.69,4.71
4.705,4.97
4.7,5.195
4.69,5.395
4.695,5.585
4.74,5.745
4.755,5.84
4.75,5.89
4.76,5.94
4.795,6.01
4.805,6.055
4.795,6.095
4.78,6.12
4.785,6.165
4.81,6.21
4.81,6.235
4.8,6.245
4.8,6.3
4.805,6.32
4.81,6.375
4.81,6.395
4.8,6.435
4.81,6.485
4.805,6.53
